,num_labels,silhouette,eps,comp,sample_value
0,0.0,0.7423982909762408,0.017,50.0,200.0
0,73.0,0.7969884613539973,0.02,50.0,5.0
0,44.0,0.7955200518018045,0.02,50.0,10.0
0,30.0,0.7926628275264774,0.02,50.0,20.0
0,10.0,0.7650123676704904,0.02,50.0,50.0
0,3.0,0.7363021896347233,0.02,50.0,100.0
0,0.0,0.7459611531848143,0.02,50.0,200.0
0,61.0,0.7850053770910109,0.023000000000000003,50.0,5.0
0,43.0,0.7801507136547431,0.023000000000000003,50.0,10.0
0,28.0,0.7892543616828399,0.023000000000000003,50.0,20.0
0,12.0,0.7589176348631252,0.023000000000000003,50.0,50.0
0,6.0,0.7496723691577748,0.023000000000000003,50.0,100.0
0,0.0,0.7484016758525691,0.023000000000000003,50.0,200.0
0,57.0,0.7732018252659786,0.026000000000000002,50.0,5.0
0,39.0,0.7701733190350676,0.026000000000000002,50.0,10.0
0,25.0,0.770295019511277,0.026000000000000002,50.0,20.0
0,13.0,0.7354811815695331,0.026000000000000002,50.0,50.0
0,5.0,0.7439268475714097,0.026000000000000002,50.0,100.0
0,0.0,0.7503057564348636,0.026000000000000002,50.0,200.0
0,51.0,0.7573527778437331,0.029,50.0,5.0
0,37.0,0.7594910621422286,0.029,50.0,10.0
0,22.0,0.7647853162132328,0.029,50.0,20.0
0,13.0,0.7622333642229555,0.029,50.0,50.0
0,3.0,0.7437994957492999,0.029,50.0,100.0
0,0.0,0.7541073781314557,0.029,50.0,200.0
0,43.0,0.7330660231005116,0.032,50.0,5.0
0,31.0,0.7391861869919242,0.032,50.0,10.0
0,18.0,0.7659654642629847,0.032,50.0,20.0
0,13.0,0.7638651342855048,0.032,50.0,50.0
0,1.0,0.7352633096105892,0.032,50.0,100.0
0,0.0,0.7602452849536974,0.032,50.0,200.0
0,37.0,0.7225447851306237,0.034999999999999996,50.0,5.0
0,26.0,0.7335143815047194,0.034999999999999996,50.0,10.0
0,13.0,0.7657143033105354,0.034999999999999996,50.0,20.0
0,10.0,0.7580488681837847,0.034999999999999996,50.0,50.0
0,1.0,0.7357178698307373,0.034999999999999996,50.0,100.0
0,0.0,0.7713441122428724,0.034999999999999996,50.0,200.0
0,32.0,0.7470270367910765,0.038,50.0,5.0
0,23.0,0.7522849306793549,0.038,50.0,10.0
0,10.0,0.7594633663703936,0.038,50.0,20.0
0,8.0,0.7538648454438229,0.038,50.0,50.0
0,0.0,0.7791765951743963,0.038,50.0,100.0
0,0.0,0.7770320070669217,0.038,50.0,200.0
0,29.0,0.7320014993531285,0.041,50.0,5.0
0,19.0,0.7404392362969072,0.041,50.0,10.0
0,9.0,0.7534191648441335,0.041,50.0,20.0
0,5.0,0.7431023163704746,0.041,50.0,50.0
0,0.0,0.7868034268743714,0.041,50.0,100.0
0,0.0,0.7821746946384882,0.041,50.0,200.0
0,23.0,0.7528254775757117,0.044,50.0,5.0
0,13.0,0.7623913963842789,0.044,50.0,10.0
0,9.0,0.7668507653294275,0.044,50.0,20.0
0,5.0,0.7468240456392446,0.044,50.0,50.0
0,0.0,0.7923711283249488,0.044,50.0,100.0
0,0.0,0.7885931162840789,0.044,50.0,200.0
0,21.0,0.7556467307648157,0.047,50.0,5.0
0,13.0,0.7755255129946863,0.047,50.0,10.0
0,10.0,0.7674524520108309,0.047,50.0,20.0
0,0.0,0.8175538698223923,0.047,50.0,50.0
0,0.0,0.7998345711995624,0.047,50.0,100.0
0,0.0,0.7959229373331728,0.047,50.0,200.0
0,211.0,0.31831649875124834,0.005,100.0,5.0
0,46.0,0.3074437276883782,0.005,100.0,10.0
0,6.0,0.337702112800905,0.005,100.0,20.0
0,0.0,0.47505954496819935,0.005,100.0,50.0
0,0.0,0.4677211213219947,0.005,100.0,100.0
0,0.0,0.46392452812823654,0.005,100.0,200.0
0,208.0,0.4454359922136703,0.008,100.0,5.0
0,70.0,0.47033044032428706,0.008,100.0,10.0
0,15.0,0.4790689913321759,0.008,100.0,20.0
0,0.0,0.5561525718867857,0.008,100.0,50.0
0,0.0,0.5499392890834123,0.008,100.0,100.0
0,0.0,0.545822287630436,0.008,100.0,200.0
0,184.0,0.5206494170732494,0.011,100.0,5.0
0,67.0,0.4935225856282856,0.011,100.0,10.0
0,21.0,0.5695151543456773,0.011,100.0,20.0
0,3.0,0.49964520618932007,0.011,100.0,50.0
0,0.0,0.5854811954956601,0.011,100.0,100.0
0,0.0,0.5835844183469426,0.011,100.0,200.0
0,170.0,0.6309998758402128,0.014000000000000002,100.0,5.0
0,77.0,0.6295851442912713,0.014000000000000002,100.0,10.0
0,30.0,0.6031635798144237,0.014000000000000002,100.0,20.0
0,6.0,0.5885066893830466,0.014000000000000002,100.0,50.0
0,0.0,0.6064855551874112,0.014000000000000002,100.0,100.0
0,0.0,0.6046206459625492,0.014000000000000002,100.0,200.0
0,159.0,0.6689389625221277,0.017,100.0,5.0
0,87.0,0.6540721090382569,0.017,100.0,10.0
0,37.0,0.6224220009085627,0.017,100.0,20.0
0,6.0,0.6042536039201177,0.017,100.0,50.0
0,0.0,0.6197525858268241,0.017,100.0,100.0
0,0.0,0.6185005344387609,0.017,100.0,200.0
0,152.0,0.6690702550176281,0.02,100.0,5.0
0,91.0,0.6705274465646824,0.02,100.0,10.0
0,42.0,0.6527943757612965,0.02,100.0,20.0
0,9.0,0.6144345529216307,0.02,100.0,50.0
0,1.0,0.595846660368444,0.02,100.0,100.0
